scenario,policy,seed,cyber_harm_auc,misbelief_auc,trust_auc,uncertainty_auc,polarization_auc,protocol_attempted,protocol_executed,shield_interventions,final_cyber_harm,final_misbelief,final_trust,exfil_risk_auc,services_down_auc,compromised_auc
cyborg_enterprise_cc4,pipeline,0,0.0,0.2388681551182437,0.549084625666335,0.021569423501822553,0.05004675011122971,0.0,0.0,0.0,-0.0,0.22879370212557054,0.5494004543605127,,,
cyborg_enterprise_cc4,pipeline,1,0.0,0.25271625579663415,0.545853006418661,0.02084747888355227,0.04718344172830572,0.0,0.0,0.0,-0.0,0.24268649731812075,0.5472838304208077,,,
cyborg_enterprise_cc4,pipeline,2,0.0,0.2449321609927237,0.5490942156986982,0.021548779970927006,0.05136546415984917,0.0,0.0,0.0,-0.0,0.21386347458083976,0.5494067355745191,,,
cyborg_enterprise_cc4,pipeline,3,0.0,0.2489623189347985,0.5507180020623156,0.02117778892551377,0.04702229832568117,0.0,0.0,0.0,-0.0,0.21022523745351326,0.5504702720950028,,,
cyborg_enterprise_cc4,pipeline,4,0.0,0.25011026513896084,0.5493688591621534,0.021029165734631677,0.05147092778871946,0.0,0.0,0.0,-0.0,0.21244966209090552,0.5495866196775278,,,
cyborg_enterprise_cc4,pipeline,5,0.0,0.2557954783802225,0.5500500952142923,0.021145107958910326,0.06760137843028828,0.0,0.0,0.0,-0.0,0.2355260884031032,0.5500328110218777,,,
cyborg_enterprise_cc4,pipeline,6,0.0,0.24727207562155906,0.5512499882507353,0.02095907860227942,0.05170372399177036,0.0,0.0,0.0,-0.0,0.2288950337313285,0.5508187087812898,,,
cyborg_enterprise_cc4,pipeline,7,0.0,0.23535927114001076,0.5423683592169385,0.022308033474115262,0.049572427363759324,0.0,0.0,0.0,-0.0,0.20509332538309352,0.5450014799570583,,,
cyborg_enterprise_cc4,pipeline,8,0.0,0.2552003741348552,0.5441771212448294,0.02146612367006573,0.050294466218552734,0.0,0.0,0.0,-0.0,0.2317052241170964,0.5461861705768515,,,
cyborg_enterprise_cc4,pipeline,9,0.0,0.25073329829882945,0.5478514986800848,0.020779534719856847,0.05633397345360342,0.0,0.0,0.0,-0.0,0.2529946298477333,0.548592789255265,,,
cyborg_enterprise_cc4,pipeline+shield,0,0.0,0.2388681551182437,0.549084625666335,0.021569423501822553,0.05004675011122971,0.0,0.0,0.0,-0.0,0.22879370212557054,0.5494004543605127,,,
cyborg_enterprise_cc4,pipeline+shield,1,0.0,0.25271625579663415,0.545853006418661,0.02084747888355227,0.04718344172830572,0.0,0.0,0.0,-0.0,0.24268649731812075,0.5472838304208077,,,
cyborg_enterprise_cc4,pipeline+shield,2,0.0,0.2449321609927237,0.5490942156986982,0.021548779970927006,0.05136546415984917,0.0,0.0,0.0,-0.0,0.21386347458083976,0.5494067355745191,,,
cyborg_enterprise_cc4,pipeline+shield,3,0.0,0.2489623189347985,0.5507180020623156,0.02117778892551377,0.04702229832568117,0.0,0.0,0.0,-0.0,0.21022523745351326,0.5504702720950028,,,
cyborg_enterprise_cc4,pipeline+shield,4,0.0,0.25011026513896084,0.5493688591621534,0.021029165734631677,0.05147092778871946,0.0,0.0,0.0,-0.0,0.21244966209090552,0.5495866196775278,,,
cyborg_enterprise_cc4,pipeline+shield,5,0.0,0.2557954783802225,0.5500500952142923,0.021145107958910326,0.06760137843028828,0.0,0.0,0.0,-0.0,0.2355260884031032,0.5500328110218777,,,
cyborg_enterprise_cc4,pipeline+shield,6,0.0,0.24727207562155906,0.5512499882507353,0.02095907860227942,0.05170372399177036,0.0,0.0,0.0,-0.0,0.2288950337313285,0.5508187087812898,,,
cyborg_enterprise_cc4,pipeline+shield,7,0.0,0.23535927114001076,0.5423683592169385,0.022308033474115262,0.049572427363759324,0.0,0.0,0.0,-0.0,0.20509332538309352,0.5450014799570583,,,
cyborg_enterprise_cc4,pipeline+shield,8,0.0,0.2552003741348552,0.5441771212448294,0.02146612367006573,0.050294466218552734,0.0,0.0,0.0,-0.0,0.2317052241170964,0.5461861705768515,,,
cyborg_enterprise_cc4,pipeline+shield,9,0.0,0.25073329829882945,0.5478514986800848,0.020779534719856847,0.05633397345360342,0.0,0.0,0.0,-0.0,0.2529946298477333,0.548592789255265,,,
cyborg_enterprise_cc4,vchimera,0,0.0,0.08298863037742224,0.660613035790908,0.016957778074701096,0.019357366054462314,7.0,7.0,0.0,-0.0,0.03566606825754902,0.6281887486487544,,,
cyborg_enterprise_cc4,vchimera,1,0.0,0.08394392288134556,0.6577476486954397,0.016361204720327965,0.02137521720662271,7.0,7.0,0.0,-0.0,0.035542674262774444,0.6263313090915212,,,
cyborg_enterprise_cc4,vchimera,2,0.0,0.06559036313857325,0.709608324564521,0.0159949229828665,0.014672492982498661,8.0,8.0,0.0,-0.0,0.022035964508950248,0.663275712797798,,,
cyborg_enterprise_cc4,vchimera,3,0.0,0.06771729928192258,0.7116530686420831,0.015675535682145414,0.01599106700364996,8.0,8.0,0.0,-0.0,0.024408907309034885,0.664639282003453,,,
cyborg_enterprise_cc4,vchimera,4,0.0,0.06940096945070487,0.7101924833725219,0.015683439823884704,0.017253706635184652,8.0,8.0,0.0,-0.0,0.02789296439111191,0.6636752063894281,,,
cyborg_enterprise_cc4,vchimera,5,0.0,0.06000909039324996,0.7108809774799579,0.015695319291264533,0.0171675172606984,8.0,8.0,0.0,-0.0,0.020945769292098813,0.6641275055711017,,,
cyborg_enterprise_cc4,vchimera,6,0.0,0.0908465183461852,0.6620014431928577,0.01650587464717532,0.02530786523035504,7.0,7.0,0.0,-0.0,0.03100832435044143,0.6290544927078607,,,
cyborg_enterprise_cc4,vchimera,7,0.0,0.07034362413945028,0.7042117938441376,0.016441536458165033,0.01756808872867233,8.0,8.0,0.0,-0.0,0.025421937896566205,0.6598203818603154,,,
cyborg_enterprise_cc4,vchimera,8,0.0,0.05748022503123192,0.7497060463486925,0.01552217711143988,0.014061063598070828,9.0,9.0,0.0,-0.0,0.018446307965461563,0.6925313166640795,,,
cyborg_enterprise_cc4,vchimera,9,0.0,0.06832324458051556,0.7080569991542535,0.015450529302275978,0.01664108818091346,8.0,8.0,0.0,-0.0,0.02008439685969813,0.6622417284356724,,,
cyborg_enterprise_cc4,vchimera+shield,0,0.0,0.08924738932473349,0.6581276525380299,0.01763254078387407,0.025575766404210137,8.0,0.0,8.0,-0.0,0.029217854199264603,0.6271031290410608,,,
cyborg_enterprise_cc4,vchimera+shield,1,0.0,0.07727595897277542,0.7045701360122837,0.01661185943781264,0.02185233079110118,8.0,0.0,8.0,-0.0,0.02852059868983885,0.6616630575550593,,,
